station_code,station_name,station_type,query,altitude,latitude,longitude,county,river_basin,data_source
LDC,LITTLE DRY CREEK (USBR),real-time,/cgi-progs/queryF?LDC,350,36.942,119.683,FRESNO,SAN JOAQUIN R,http://cdec.water.ca.gov/
LPS,LITTLE POTATO SLOUGH AT TERMINOUS,real-time,/cgi-progs/queryF?LPS,0,38.0964,121.4961,SAN JOAQUIN,SAN JOAQUIN R,http://cdec.water.ca.gov/
LRT,LITTLE RIVER NEAR TRINIDAD,real-time,/cgi-progs/queryF?LRT,18,41.0098495483398,124.08145904541,HUMBOLDT,EEL R,http://cdec.water.ca.gov/
LSR,LITTLE SHASTA R NR MONTAGUE,real-time,/cgi-progs/queryF?LSR,2800,41.7330932617188,122.350357055664,SISKIYOU,SHASTA R,http://cdec.water.ca.gov/
LAB,LITTLE TRUCKEE R ABV BOCA RESERVOIR,real-time,/cgi-progs/queryF?LAB,5619,39.4357414245605,120.084365844727,NEVADA,TRUCKEE R,http://cdec.water.ca.gov/
LTK,LITTLE TRUCKEE R BL BOCA RES,real-time,/cgi-progs/queryF?LTK,5500,39.3868522644043,120.095474243164,NEVADA,TRUCKEE R,http://cdec.water.ca.gov/
LTJ,LITTLE TUJUNGA,real-time,/cgi-progs/queryF?LTJ,1390,34.294,118.361,LOS ANGELES,LOS ANGELES R,http://cdec.water.ca.gov/
LCF,LITTLEJOHN CK AT FARMINGTON,real-time,/cgi-progs/queryF?LCF,113,37.9267,121.0017,SAN JOAQUIN,SAN JOAQUIN R,http://cdec.water.ca.gov/
LVO,LIVE OAK CANYON - LIVE OAK DAM,real-time,/cgi-progs/queryF?LVO,1510,34.134,117.744,LOS ANGELES,LOS ANGELES R,http://cdec.water.ca.gov/
LIV,LIVERMORE,real-time,/cgi-progs/queryF?LIV,800,37.7103,121.8183,ALAMEDA,EAST BAY,http://cdec.water.ca.gov/
LBD,LOBDELL LAKE,real-time,/cgi-progs/queryF?LBD,9200,38.44,119.377,MONO,WALKER R,http://cdec.water.ca.gov/
LGS,LOG SPRING,real-time,/cgi-progs/queryF?LGS,5100,39.833,122.783,TEHAMA,SACTO VLY WEST,http://cdec.water.ca.gov/
LCY,LONG CANYON,real-time,/cgi-progs/queryF?LCY,6880,35.89,118.126,KERN,KERN R,http://cdec.water.ca.gov/
LMO,LOOMIS OBSERVATORY,real-time,/cgi-progs/queryF?LMO,733,38.815,121.113,PLACER,AMERICAN R,http://cdec.water.ca.gov/
LON,LOON LAKE (SMUD),real-time,/cgi-progs/queryF?LON,6410,38.983,120.323,EL DORADO,AMERICAN R,http://cdec.water.ca.gov/
LSA,LOS ALTOS HILLS,real-time,/cgi-progs/queryF?LSA,2001,37.3581,122.1472,SANTA CLARA,BAYSIDE-SAN MATEO,http://cdec.water.ca.gov/
LBN,LOS BANOS (CDF),real-time,/cgi-progs/queryF?LBN,350,37.053,121.049,MERCED,SAN JOAQUIN R,http://cdec.water.ca.gov/
LBS,LOS BANOS DAM,real-time,/cgi-progs/queryF?LBS,350,36.994,120.93,MERCED,SAN JOAQUIN R,http://cdec.water.ca.gov/
LCK,LOS COCHES CREEK,real-time,/cgi-progs/queryF?LCK,560,32.836,116.902,SAN DIEGO,SAN DIEGO R,http://cdec.water.ca.gov/
LSG,LOS GATOS,real-time,/cgi-progs/queryF?LSG,646,37.2068,121.9428,SANTA CLARA,LOS GATOS CR (NEAR SAN JOSE),http://cdec.water.ca.gov/
EDA,LOS GATOS CREEK AT EL DORADO AVENUE,real-time,/cgi-progs/queryF?EDA,490,36.167,120.209,FRESNO,LOS GATOS CR (NEAR COALINGA),http://cdec.water.ca.gov/
LGC,LOS GATOS CREEK NEAR COALINGA,real-time,/cgi-progs/queryF?LGC,1080,36.2146759033203,120.470710754395,FRESNO,LOS GATOS CR (NEAR COALINGA),http://cdec.water.ca.gov/
LLC,LOS LAURELES CANYON,real-time,/cgi-progs/queryF?LLC,788,34.5436019897461,119.864860534668,SANTA BARBARA,SANTA YNEZ R,http://cdec.water.ca.gov/
LSM,LOS MEDONOS,real-time,/cgi-progs/queryF?LSM,130,37.9973,121.8564,CONTRA COSTA,SF BAY,http://cdec.water.ca.gov/
LSO,LOS OSOS,real-time,/cgi-progs/queryF?LSO,130,35.322,120.801,SAN LUIS OBISPO,COAST-MORRO BAY,http://cdec.water.ca.gov/
LCR,LOST CORNER MOUNTAIN,real-time,/cgi-progs/queryF?LCR,7500,39.017,120.215,EL DORADO,AMERICAN R,http://cdec.water.ca.gov/
LTH,LOST HORSE,real-time,/cgi-progs/queryF?LTH,4100,34.017,116.183,RIVERSIDE,WHITEWATER R,http://cdec.water.ca.gov/
LRS,LOST RIVER,real-time,/cgi-progs/queryF?LRS,4480,41.926,121.075,MODOC,KLAMATH R,http://cdec.water.ca.gov/
LWD,LOWDEN,real-time,/cgi-progs/queryF?LWD,3120,40.69,122.831,TRINITY,TRINITY R,http://cdec.water.ca.gov/
KIB,LOWER KIBBIE RIDGE,real-time,/cgi-progs/queryF?KIB,6700,38.032,119.877,TUOLUMNE,TUOLUMNE R,http://cdec.water.ca.gov/
LKL,LOWER KLAMATH NWR,real-time,/cgi-progs/queryF?LKL,4098,41.999,121.7,SISKIYOU,KLAMATH R,http://cdec.water.ca.gov/
LLP,LOWER LASSEN PEAK,real-time,/cgi-progs/queryF?LLP,8250,40.468,121.507,SHASTA,FEATHER R,http://cdec.water.ca.gov/
LPN,LOWER PINE CREEK,real-time,/cgi-progs/queryF?LPN,6320,35.977,118.132,KERN,KERN R,http://cdec.water.ca.gov/
